id,parentId,dep
"产业规划决策",,1
"关键内容","产业规划决策",2
"关键思路","产业规划决策",2
"关键因素","产业规划决策",2
"发展战略","关键内容",3
"发展定位","关键内容",3
"产业定位","关键内容",3
"产业布局","关键内容",3
"产业升级","关键内容",3
"经营管理","关键内容",3
"外部环境","关键思路",3
"内部资源","关键思路",3
"产业定位分析","关键思路",3
"产业空间","关键思路",3
"园区配套","关键思路",3
"宏观环境","关键因素",3
"微观环境","关键因素",3
"产业集聚","发展战略",4
"功能定位","发展战略",4
"开发模式","发展战略",4
"运作机制","发展战略",4
"发展方向","发展定位",4
"产业发展定位","发展定位",4
"功能定位","发展定位",4
"目标客户选择","发展定位",4
"管控机制研究","发展定位",4
"产业结构优化升级","产业定位",4
"园区比较优势","产业定位",4
"区域产业链分工协作","产业定位",4
"细分领域","产业定位",4
"产业招商","产业定位",4
"空间承载力","产业布局",4
"特色集聚","产业布局",4
"功能分区","产业布局",4
"支柱产业优化升级","产业升级",4
"园区经济增长点培养","产业升级",4
"产业链优化","产业升级",4
"管理体制","经营管理",4
"产业招商","经营管理",4
"品牌经营","经营管理",4
"孵化支持","经营管理",4
"产业投资","经营管理",4
"产业发展环境","外部环境",4
"行业发展前景","外部环境",4
"政策导向","外部环境",4
"内部资源优势","内部资源",4
"内部资源劣势","内部资源",4
"产业现状和资源能力","内部资源",4
"产业与周边竞争态势","内部资源",4
"确定主导产业","产业定位分析",4
"确定产业组合方案","产业定位分析",4
"确定辅助产业","产业定位分析",4
"产业发展策略","产业空间",4
"空间布局策略","产业空间",4
"招商策略","园区配套",4
"运营管理策略","园区配套",4
"增值服务策略","园区配套",4
"投融资策略","园区配套",4
"全球及中国经济","宏观环境",4
"地区商业环境","宏观环境",4
"政策","宏观环境",4
"环境状况","宏观环境",4
"生态","宏观环境",4
"社会经济","宏观环境",4
"市场需求","微观环境",4
"资源","微观环境",4
"地区能源问题","微观环境",4
"产业技术","微观环境",4
"产业结构","微观环境",4
"利益相关者概况","微观环境",4
